language,tag,count,count1
sql,sql-server,12299,2.860332597
sql,tsql,5576,1.296662403
sql,database,4621,1.074543552
sql,sql-server-2005,4311,1.002442144
sql,oracle,4175,0.970810559
sql,php,3792,0.881730434
sql,c#,3627,0.843353878
sql,sql-server-2008,3617,0.841028027
sql,postgresql,1731,0.402372369
sql,asp.net,1692,0.393301547
sql,join,1569,0.364693569
sql,stored-procedures,1562,0.363065473
sql,ms-access,1380,0.320734969
sql,.net,1289,0.299569717
sql,database-design,1278,0.29701128
sql,sqlite,1147,0.266542621
sql,performance,1047,0.243284103
sql,select,964,0.223979533
sql,linq,855,0.198627747
sql,plsql,853,0.198162577
sql,sql-update,645,0.149784859
sql,ruby-on-rails,644,0.149552274
sql,vb.net,621,0.144202814
sql,linq-to-sql,574,0.133271311
sql,group-by,560,0.130015118
sql,sql-server-2000,559,0.129782533
sql,triggers,544,0.126293755
sql,oracle10g,525,0.121874637
sql,indexing,524,0.121642051
sql,xml,521,0.120944296
c,linux,3056,0.710547738
c,pointers,1879,0.436794976
c,gcc,1430,0.332364228
c,windows,1365,0.317246191
c,arrays,1354,0.314687754
c,string,1077,0.250261658
c,winapi,1017,0.236306547
c,sockets,918,0.213280614
c,unix,904,0.210024421
c,objective-c,888,0.206303058
c,struct,844,0.19606931
c,algorithm,752,0.174671473
c,multithreading,709,0.164670311
c,memory-management,616,0.143039888
c,malloc,613,0.142342133
c,pthreads,574,0.133271311
c,assembly,568,0.1318758
c,memory,556,0.129084777
c,compiler-construction,545,0.12652634
c,file,513,0.119083614
c,printf,478,0.110943133
c,c#,475,0.110245377
c,function,473,0.109780207
c,embedded,440,0.102104896
c,c-preprocessor,427,0.099081289
c,posix,402,0.093266659
c,data-structures,399,0.092568903
c,osx,398,0.092336318
c,optimization,397,0.092103733
c,performance,381,0.08838237
html,css,21735,5.055006396
html,jquery,11571,2.691010583
html,php,7507,1.745784394
html,asp.net,2235,0.519595302
html,forms,2188,0.508663798
html,ajax,1600,0.37190371
html,internet-explorer,1575,0.36608908
html,c#,1562,0.363065473
html,table,1506,0.350040702
html,xhtml,1373,0.319106873
html,dom,1317,0.306082103
html,image,1180,0.274217932
html,html5,1172,0.272357251
html,xml,916,0.212815444
html,iframe,885,0.205605303
html,regex,830,0.192813118
html,firefox,821,0.190719851
html,browser,729,0.169322014
html,layout,705,0.16373997
html,flash,700,0.162577044
html,css3,661,0.153506222
html,iphone,600,0.139318525
html,parsing,599,0.13908594
html,css-float,560,0.130015118
html,hyperlink,533,0.123735318
html,jsp,529,0.122804977
html,cross-browser,527,0.122339807
html,google-chrome,506,0.117455518
html,internet-explorer-7,498,0.115594837
html,email,488,0.113268985
mysql,php,23084,5.36876381
mysql,database,5387,1.252703803
mysql,join,1636,0.380276776
mysql,database-design,1583,0.367949762
mysql,performance,1253,0.291196651
mysql,ruby-on-rails,1174,0.272822421
mysql,select,1156,0.268635888
mysql,c#,1093,0.253983021
mysql,jquery,834,0.193743459
mysql,phpmyadmin,787,0.182811955
mysql,stored-procedures,730,0.169554599
mysql,optimization,712,0.165368066
mysql,indexing,707,0.16420514
mysql,table,685,0.159088266
mysql,innodb,665,0.154436562
mysql,insert,658,0.152808466
mysql,sql-server,640,0.148621933
mysql,ajax,638,0.148156762
mysql,pdo,609,0.141411792
mysql,codeigniter,606,0.140714037
mysql,jdbc,606,0.140714037
mysql,datetime,603,0.140016281
mysql,hibernate,600,0.139318525
mysql,date,597,0.13862077
mysql,arrays,592,0.137457844
mysql,group-by,587,0.136294918
mysql,query-optimization,546,0.126758925
mysql,search,532,0.123502733
mysql,django,519,0.120479125
mysql,ruby,504,0.116990348
python,django,9376,2.180486103
python,google-app-engine,2962,0.688684731
python,list,1833,0.426096058
python,regex,1773,0.412140947
python,numpy,1482,0.344458658
python,string,1466,0.340737295
python,windows,1241,0.288405629
python,dictionary,1155,0.268403303
python,django-models,1130,0.262588673
python,linux,1073,0.249331318
python,multithreading,1008,0.234213281
python,python-3.x,1003,0.233050355
python,wxpython,936,0.217467147
python,sqlalchemy,894,0.20769857
python,matplotlib,879,0.204209792
python,tkinter,846,0.196534481
python,osx,842,0.19560414
python,xml,825,0.191650192
python,php,792,0.183974881
python,parsing,731,0.169787185
python,unicode,724,0.168159088
python,file,693,0.160948948
python,pyqt,679,0.157692755
python,performance,639,0.148389348
python,database,634,0.147226422
python,pygtk,618,0.143505059
python,subprocess,615,0.142807303
python,import,604,0.140248866
python,class,598,0.138853355
python,algorithm,585,0.135829748
javascript,jquery,42996,10
javascript,php,8923,2.075125015
javascript,css,8365,1.945342482
javascript,ajax,8362,1.944644726
javascript,asp.net,6086,1.415280847
javascript,dom,3386,0.787300849
javascript,json,3233,0.751715316
javascript,regex,3048,0.708687057
javascript,javascript-events,2800,0.651005931
javascript,internet-explorer,2688,0.62495639
javascript,c#,2610,0.606814746
javascript,html5,2570,0.597511339
javascript,forms,2079,0.483312013
javascript,firefox,2031,0.472147924
javascript,jquery-ui,1937,0.450284917
javascript,arrays,1794,0.417025235
javascript,google-maps,1730,0.402139784
javascript,iframe,1660,0.385858821
javascript,google-chrome,1569,0.364693569
javascript,events,1440,0.33469008
javascript,ruby-on-rails,1406,0.326782184
javascript,facebook,1301,0.30236074
javascript,flash,1269,0.294918014
javascript,extjs,1263,0.293522503
javascript,node.js,1247,0.28980114
javascript,browser,1246,0.289568554
javascript,jquery-plugins,1222,0.28398651
javascript,function,1183,0.274915688
javascript,image,1172,0.272357251
javascript,validation,1150,0.267240377
java,android,12043,2.80079079
java,swing,8319,1.934643563
java,eclipse,5811,1.351319921
java,spring,5613,1.305268054
java,hibernate,5592,1.300383766
java,multithreading,3518,0.818002093
java,jsp,3468,0.806372834
java,xml,3412,0.793348064
java,servlets,3214,0.747296197
java,java-ee,3003,0.698220723
java,jpa,2586,0.601232701
java,tomcat,2465,0.573089894
java,string,2358,0.548203279
java,jdbc,2357,0.547970694
java,web-services,2193,0.509826724
java,regex,2186,0.508198628
java,jsf,2174,0.505407606
java,generics,2062,0.479358065
java,c#,2022,0.470054658
java,arrays,2001,0.465170369
java,spring-mvc,1799,0.418188161
java,user-interface,1789,0.41586231
java,netbeans,1693,0.393534132
java,gwt,1670,0.388184673
java,google-app-engine,1612,0.374694732
java,performance,1592,0.370043028
java,database,1565,0.363763228
java,jar,1527,0.354924991
java,sockets,1499,0.348412606
java,applet,1456,0.338411443
swift,objective-c,50,0.011396674
swift,ios,38,0.008605652
swift,iphone,22,0.004884289
swift,cocoa-touch,11,0.002325852
swift,uiscrollview,4,0.000697756
swift,nsdate,4,0.000697756
swift,cocoa,3,0.00046517
swift,osx,3,0.00046517
swift,nsuserdefaults,3,0.00046517
swift,xcode,3,0.00046517
swift,uitextfield,3,0.00046517
swift,uitableview,3,0.00046517
swift,nsstring,2,0.000232585
swift,audio,2,0.000232585
swift,core-data,2,0.000232585
swift,ipad,2,0.000232585
swift,uiimageview,2,0.000232585
swift,uibutton,2,0.000232585
swift,cgpoint,1,0
swift,localnotification,1,0
swift,formatting,1,0
swift,uikeyboard,1,0
swift,twilio,1,0
swift,time,1,0
swift,uigesturerecognizer,1,0
swift,uilocalnotification,1,0
swift,avaudiosession,1,0
swift,programmatically-created,1,0
swift,url-scheme,1,0
swift,tablecell,1,0
matlab,image-processing,339,0.078613792
matlab,matrix,296,0.068612629
matlab,plot,275,0.063728341
matlab,image,160,0.036981044
matlab,user-interface,155,0.035818118
matlab,arrays,150,0.034655192
matlab,file-io,138,0.03186417
matlab,function,105,0.024188859
matlab,math,100,0.023025933
matlab,mex,96,0.022095593
matlab,simulink,92,0.021165252
matlab,octave,84,0.01930457
matlab,signal-processing,83,0.019071985
matlab,matlab-deployment,78,0.017909059
matlab,computer-vision,77,0.017676474
matlab,vectorization,72,0.016513548
matlab,performance,70,0.016048378
matlab,c#,69,0.015815793
matlab,neural-network,68,0.015583207
matlab,string,63,0.014420281
matlab,algorithm,62,0.014187696
matlab,vector,57,0.01302477
matlab,machine-learning,54,0.012327015
matlab,fft,53,0.01209443
matlab,file,51,0.011629259
matlab,oop,50,0.011396674
matlab,graph,50,0.011396674
matlab,indexing,47,0.010698918
matlab,variables,47,0.010698918
matlab,loops,44,0.010001163
c++,windows,4079,0.948482382
c++,templates,3667,0.852657286
c++,boost,3507,0.815443656
c++,qt,3382,0.786370508
c++,winapi,3307,0.768926619
c++,stl,3123,0.726130945
c++,visual-c++,2948,0.685428538
c++,c#,2424,0.563553902
c++,linux,2233,0.519130131
c++,pointers,2153,0.500523317
c++,visual-studio,1795,0.417257821
c++,string,1783,0.414466798
c++,multithreading,1773,0.412140947
c++,c++11,1557,0.361902547
c++,vector,1543,0.358646354
c++,arrays,1539,0.357716013
c++,mfc,1468,0.341202465
c++,gcc,1462,0.339806954
c++,class,1353,0.314455169
c++,opengl,1279,0.297243866
c++,visual-studio-2008,1262,0.293289917
c++,algorithm,1192,0.277008955
c++,dll,1162,0.270031399
c++,inheritance,1102,0.256076288
c++,visual-studio-2010,1101,0.255843703
c++,memory-management,1087,0.25258751
c++,function,905,0.210257007
c++,g++,902,0.209559251
c++,debugging,893,0.207465984
c++,linker,893,0.207465984
